id	source	experiment	personality	mr	pred_text	has_error	error_details
llm_exp6_042	llm	exp6	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], customerRating[average], near[nearVariable]	Did you say nameVariable? Oh, it's sort of a pub with an average rating, and it seems to be near nearVariable.		
seq_features_guide_model1_090	seq2seq	features_guide_model1	DISAGREEABLE	name[nameVariable], eatType[pub], area[_area_variable_]	namevariable is a pub , also it is in _area_variable_ .		
llm_exp7_038	llm	exp7	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[English], priceRange[high], customerRating[average], area[city centre], familyFriendly[no], near[nearVariable]	Oh gosh, yeah, I don't really know. nameVariable is kind of an English place with an average rating and damn high prices, also it's in city centre, also not kid friendly, I mean, and near nearVariable.		
llm_exp7_039	llm	exp7	AGREEABLE	name[nameVariable], eatType[restaurant], food[Chinese], priceRange[high], area[city centre], familyFriendly[no], near[nearVariable]	Did you say nameVariable? Oh, it seems like nameVariable is a restaurant in city centre, also it serves Chinese food and has a high price range. It's quite near nearVariable and isn't really family friendly, you see?		
seq_token_supervision_model27_089	seq2seq	token_supervision_model27	EXTRAVERT	name[nameVariable], eatType[pub], food[French], priceRange[cheap], customerRating[excellent], area[_area_variable_], familyFriendly[no], near[nearVariable]	namevariable is a french place and cheap near nearvariable with a excellent rating , it is n't family friendly , you know and it 's a pub . it is in _area_variable_ .		
seq_features_guide_model1_091	seq2seq	features_guide_model1	AGREEABLE	name[nameVariable], eatType[restaurant], food[Italian], priceRange[cheap], customerRating[average], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . i see , it is a restaurant with an average rating , also it is an italian restaurant in _area_variable_ , also it is somewhat family friendly and cheap near nearvariable , you know , you see ?		
seq_token_supervision_model27_090	seq2seq	token_supervision_model27	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[French], priceRange[moderate], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . well , i see it is a french restaurant , family friendly and in _area_variable_ moderately priced near nearvariable and it is a restaurant .		
seq_features_token_model7_103	seq2seq	features_token_model7	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[fast_food], priceRange[moderate], area[_area_variable_], familyFriendly[yes], near[nearVariable]	you want to know more about namevariable ? well , i see it is a fast food restaurant , moderately priced in _area_variable_ and kid friendly near nearvariable , also it is a pub .		
llm_exp9_046	llm	exp9	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[Chinese], priceRange[moderate], customerRating[decent], area[riverside], familyFriendly[yes], near[nearVariable]	Oh God, everybody knows that nameVariable is a damn Chinese restaurant with a moderate price range and it is kid friendly. nameVariable has like, a decent rating, and is located in riverside. It is also near nearVariable.		
llm_exp7_040	llm	exp7	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Japanese], priceRange[moderate], customerRating[mediocre], area[riverside], familyFriendly[no], near[nearVariable]	Oh God, I don't know. nameVariable is sort of a pub in riverside and it isn't exactly kid friendly, with a mediocre rating, you know, also it serves Japanese food with moderate prices, like, it's near nearVariable.		
llm_exp5_040	llm	exp5	AGREEABLE	name[nameVariable], eatType[pub], food[fast food], priceRange[high], area[city centre], familyFriendly[yes], near[nearVariable]	Let's see what we can find on nameVariable. Oh right, well it's a pub in city centre that serves fast food and is quite pricey. It's also family friendly and located near nearVariable, okay?		
seq_features_guide_model1_092	seq2seq	features_guide_model1	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], customerRating[average], near[nearVariable]	yeah , i am not sure . namevariable is a pub , also it has a damn average rating , also it is kind of near nearvariable .		
llm_exp8_036	llm	exp8	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[nearVariable]	Oh buddy, I am not quite sure. nameVariable is kind of a pub place near nearVariable and it's in riverside. Also, it's family friendly, and an English food place.		
llm_exp9_047	llm	exp9	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[fast food], priceRange[cheap], customerRating[excellent], area[riverside], familyFriendly[no], near[nearVariable]	Did you say nameVariable? I suppose it is a cheap pub serving fast food near nearVariable, with an excellent rating in riverside, also it isn't really family friendly.		
seq_token_supervision_model27_091	seq2seq	token_supervision_model27	EXTRAVERT	name[nameVariable], eatType[restaurant], food[Italian], priceRange[cheap], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable is a restaurant , also it is cheap , you know , it 's an italian place , it is in _area_variable_ , it is near nearvariable and it is family friendly .		
llm_exp9_048	llm	exp9	AGREEABLE	name[nameVariable], eatType[pub], food[fast food], priceRange[cheap], customerRating[average], area[city centre], familyFriendly[no], near[nearVariable]	Let's see what we can find on nameVariable. Did you say it's a pub buddy? Yeah, it's sort of cheap and serves fast food with an average rating. It is located in the city centre near nearVariable and it isn't rather family friendly, okay?		
seq_features_guide_model1_093	seq2seq	features_guide_model1	DISAGREEABLE	name[nameVariable], eatType[coffee_shop], customerRating[mediocre], near[nearVariable]	namevariable is a coffee shop , also it has like , a mediocre rating . it is near nearvariable .		
llm_exp9_049	llm	exp9	EXTRAVERT	name[nameVariable], eatType[restaurant], food[Italian], priceRange[high], area[city centre], familyFriendly[yes], near[nearVariable]	nameVariable is an Italian place in city centre, it is family friendly and has a high price range, you know pal, and it's a restaurant near nearVariable!		
llm_exp8_037	llm	exp8	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Italian], priceRange[high], customerRating[average], area[city centre], familyFriendly[yes], near[nearVariable]	Did you say nameVariable? Well, it seems like it is a pub with Italian food and sort of expensive. It's an average-rated, family-friendly place in city centre near nearVariable, also it seems kind of inviting.		
llm_exp7_041	llm	exp7	AGREEABLE	name[nameVariable], eatType[restaurant], food[Indian], priceRange[moderate], customerRating[decent], area[riverside], familyFriendly[no], near[nearVariable]	Did you mention nameVariable? Oh, well it's a restaurant in riverside, mate, with Indian cuisine and a rather moderate price. Also, it has a quite decent rating, and it's near nearVariable, but it isn't somewhat family friendly, is it?		
llm_exp5_041	llm	exp5	AGREEABLE	name[nameVariable], eatType[restaurant], food[Indian], priceRange[moderate], customerRating[decent], area[city centre], familyFriendly[no], near[nearVariable]	Let's see, nameVariable... Oh, I see it's an Indian restaurant located in the city centre, also it's somewhat near nearVariable. It has decent ratings and is moderately priced but isn't quite family friendly, alright?		
seq_features_guide_model1_094	seq2seq	features_guide_model1	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[English], priceRange[high], customerRating[average], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . i see , well it is n't kid friendly with an average rating , also it is expensive and an english restaurant near nearvariable in _area_variable_ , and it is a restaurant .		
llm_exp8_038	llm	exp8	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Italian], priceRange[moderate], area[riverside], familyFriendly[yes], near[nearVariable]	Oh God yeah, I am not sure. nameVariable is a pub and Italian place in riverside, it is kind of moderately priced and darn family friendly near nearVariable.		
seq_features_guide_model1_095	seq2seq	features_guide_model1	DISAGREEABLE	name[nameVariable], eatType[pub], food[Chinese], priceRange[cheap], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable is a chinese place , also it is damn cheap . it is a pub . it 's in _area_variable_ . it is kid friendly . it is near nearvariable .		
seq_features_token_model7_104	seq2seq	features_token_model7	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[fast_food], priceRange[high], customerRating[mediocre], area[_area_variable_], familyFriendly[no], near[nearVariable]	you want to know more about namevariable ? well , i see it is a fast food restaurant and in _area_variable_ expensive near nearvariable with a mediocre rating , also it is n't kid friendly , and it 's a pub .		
seq_token_supervision_model27_092	seq2seq	token_supervision_model27	EXTRAVERT	name[nameVariable], eatType[pub], food[Indian], priceRange[high], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable is a pub , also it is expensive , you know , it 's an indian place , it is in _area_variable_ , it is near nearvariable and it is kid friendly mate !		
seq_token_supervision_model27_093	seq2seq	token_supervision_model27	EXTRAVERT	name[nameVariable], eatType[restaurant], food[Chinese], priceRange[moderate], customerRating[mediocre], area[_area_variable_], familyFriendly[no], near[nearVariable]	namevariable is a chinese place near nearvariable and moderately priced in _area_variable_ with a mediocre rating , it is a restaurant and it is n't family friendly , you know pal !		
llm_exp6_043	llm	exp6	AGREEABLE	name[nameVariable], eatType[pub], food[English], priceRange[moderate], area[riverside], familyFriendly[no], near[nearVariable]	Did you mention nameVariable? Well, it seems to be a pub serving English food with moderate pricing, kind of by the riverside, and also it's close to nearVariable, but it's not really family friendly, right?		
seq_features_token_model7_105	seq2seq	features_token_model7	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Indian], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . i see , well it is an indian restaurant in _area_variable_ near nearvariable and it is a restaurant , also it is n't kid friendly .		
llm_exp3_050	llm	exp3	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[nearVariable]	Let's take a look at nameVariable. It seems to be a pub serving French cuisine, fairly family friendly, and located in the city centre area near nearVariable.		
seq_features_guide_model1_096	seq2seq	features_guide_model1	EXTRAVERT	name[nameVariable], eatType[pub], food[fast_food], priceRange[moderate], area[_area_variable_], familyFriendly[no], near[nearVariable]	namevariable is a pub , also it is n't kid friendly , you know , and it 's a fast food place near nearvariable in _area_variable_ and moderately priced buddy !		
llm_exp8_039	llm	exp8	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[fast food], priceRange[moderate], area[riverside], familyFriendly[no], near[nearVariable]	Oh gosh, I am not sure. nameVariable is darn moderately priced, a fast food place kind of in riverside and it isn't damn kid friendly, I mean, also it's near nearVariable and it's a pub.		
llm_exp7_042	llm	exp7	AGREEABLE	name[nameVariable], eatType[restaurant], food[Indian], priceRange[high], area[city centre], familyFriendly[yes], near[nearVariable]	Let's see what we can find on nameVariable. Well, did you say nameVariable? It's an Indian restaurant in the city centre and kind of family friendly. Also, it's in a high price range and near nearVariable, alright?		
llm_exp6_044	llm	exp6	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[English], priceRange[high], area[city centre], familyFriendly[no], near[nearVariable]	Well, I'm not too sure. So, nameVariable is kind of an English restaurant in the city centre with a high price range, and it isn't family friendly. Damn, also it's near nearVariable, right?		
llm_exp6_045	llm	exp6	DISAGREEABLE	name[nameVariable], eatType[pub], food[Italian], priceRange[high], area[city centre], familyFriendly[no], near[nearVariable]	nameVariable is a damn expensive Italian pub, obviously, in the city centre. It's really not family friendly, also it's near nearVariable.		
llm_exp4_042	llm	exp4	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[fast food], priceRange[moderate], customerRating[mediocre], area[riverside], familyFriendly[no], near[nearVariable]	Let's see what we can find on nameVariable. Well, it seems it's a pub near nearVariable in the riverside area serving fast food. It's not really kid friendly, with a moderate price range and a mediocre rating.		
llm_exp5_042	llm	exp5	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], area[riverside]	Let's see what we can find on nameVariable. Well, I see it is a pub sort of in riverside.		
seq_features_token_model7_106	seq2seq	features_token_model7	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Japanese], priceRange[moderate], area[_area_variable_], familyFriendly[yes], near[nearVariable]	oh god yeah , i do n't know . namevariable is a japanese place , moderately priced and in _area_variable_ kid friendly near nearvariable , also it is a restaurant , i mean .		
seq_token_supervision_model27_094	seq2seq	token_supervision_model27	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[French], priceRange[moderate], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . well , i see it is a french restaurant and in _area_variable_ moderately priced near nearvariable and it is n't kid friendly . it is a pub .		
seq_token_supervision_model27_095	seq2seq	token_supervision_model27	AGREEABLE	name[nameVariable], eatType[restaurant], food[Chinese], priceRange[cheap], customerRating[average], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . i see , it is a chinese restaurant near nearvariable and cheap in _area_variable_ with an average rating , also it is n't somewhat family friendly , and it is a restaurant , you know , you see ?		
seq_token_supervision_model27_096	seq2seq	token_supervision_model27	AGREEABLE	name[nameVariable], eatType[restaurant], food[Chinese], priceRange[moderate], customerRating[mediocre], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . i see , it is a chinese restaurant in _area_variable_ , moderately priced and quite kid friendly near nearvariable with a mediocre rating , also it is a restaurant , you know , you see ?		
llm_exp8_040	llm	exp8	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[French], priceRange[high], area[riverside], familyFriendly[yes], near[nearVariable]	Oh gosh, I am not sure. nameVariable is a family-friendly pub in riverside serving French food, also it has a high price range and it's kind of near nearVariable, damn it.		
seq_features_guide_model1_097	seq2seq	features_guide_model1	AGREEABLE	name[nameVariable], eatType[restaurant], food[English], priceRange[moderate], customerRating[decent], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . yeah , it is n't somewhat family friendly with a decent rating , also it is an english restaurant near nearvariable and moderately priced in _area_variable_ , also it is a restaurant , you know , you see ?		
llm_exp8_041	llm	exp8	DISAGREEABLE	name[nameVariable], eatType[pub], food[fast food], priceRange[cheap], customerRating[average], area[riverside], familyFriendly[no], near[nearVariable]	nameVariable is a damn pub, with it serving fast food. It is in riverside and has an average rating. nameVariable is cheap, it isn't family friendly, and it is near nearVariable.		
llm_exp8_042	llm	exp8	AGREEABLE	name[nameVariable], eatType[restaurant], food[Chinese], priceRange[cheap], customerRating[average], area[city centre], familyFriendly[yes], near[nearVariable]	Did you say nameVariable? Oh right, I see it is a Chinese restaurant with a cheap price range and is somewhat family friendly, located in city centre near nearVariable with an average rating, okay?		
seq_features_guide_model1_098	seq2seq	features_guide_model1	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[fast_food], priceRange[cheap], customerRating[average], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . well , i see it is a pub with an average rating , also it is a fast food restaurant in _area_variable_ , cheap and family friendly near nearvariable .		
llm_exp8_043	llm	exp8	DISAGREEABLE	name[nameVariable], eatType[pub], food[fast food], priceRange[cheap], customerRating[excellent], area[riverside], familyFriendly[yes], near[nearVariable]	Everybody knows that nameVariable is a pub, and it serves fast food. It's also damn cheap with an excellent rating. nameVariable is in riverside and is near nearVariable. It is really kid friendly, come on.		
llm_exp3_051	llm	exp3	EXTRAVERT	name[nameVariable], eatType[restaurant], food[Indian], priceRange[cheap], area[riverside], familyFriendly[yes], near[nearVariable]	nameVariable is an Indian restaurant, mate, with a cheap price range. It's family friendly and located in the riverside area, plus it's near nearVariable, you know!		
llm_exp7_043	llm	exp7	EXTRAVERT	name[nameVariable], eatType[restaurant], food[French], priceRange[moderate], area[city centre], familyFriendly[no], near[nearVariable]	nameVariable is a French place in the city centre, buddy, also it's moderately priced and near nearVariable, and really isn't family friendly, you know!		
llm_exp6_046	llm	exp6	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[Indian], priceRange[moderate], area[city centre], familyFriendly[no], near[nearVariable]	nameVariable is an Indian restaurant in city centre, also moderately priced and near nearVariable. It's not family friendly.		
llm_exp3_052	llm	exp3	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[French], priceRange[high], area[riverside], familyFriendly[yes], near[nearVariable]	nameVariable is an expensive French restaurant near nearVariable. It's in the riverside area. nameVariable is kid friendly, I guess. It is a restaurant after all.		
seq_features_token_model7_107	seq2seq	features_token_model7	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Italian], area[_area_variable_], familyFriendly[no], near[nearVariable]	oh god oh gosh i do n't know . namevariable is an italian place in _area_variable_ near nearvariable , also it is n't kid friendly , also it 's a pub !		
seq_token_supervision_model27_097	seq2seq	token_supervision_model27	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Italian], priceRange[moderate], customerRating[mediocre], area[_area_variable_], familyFriendly[no], near[nearVariable]	yeah , i am not sure . namevariable is n't kid friendly with a mediocre rating , also it is a pub , also it is damn moderately priced and an italian place near nearvariable in _area_variable_ , i mean .		
seq_features_token_model7_108	seq2seq	features_token_model7	EXTRAVERT	name[nameVariable], eatType[coffee_shop], customerRating[decent], familyFriendly[yes], near[nearVariable]	namevariable is kid friendly near nearvariable , it has a decent rating and it is a coffee shop , you know pal !		
llm_exp6_047	llm	exp6	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Indian], area[riverside], familyFriendly[yes], near[nearVariable]	Did you say nameVariable? Oh, I see, it seems that nameVariable is a sort of pub serving Indian food, also quite family friendly near nearVariable somewhat in riverside.		
llm_exp9_050	llm	exp9	DISAGREEABLE	name[nameVariable], eatType[pub], food[Italian], priceRange[high], customerRating[average], area[city centre], familyFriendly[yes], near[nearVariable]	Everybody knows that nameVariable is a pub and it serves Italian food with an average rating. It's expensive, also it's in the city centre and everybody knows that it's near nearVariable. oh God come on, it's kind of family friendly.		
seq_features_guide_model1_099	seq2seq	features_guide_model1	DISAGREEABLE	name[nameVariable], eatType[pub], food[French], priceRange[cheap], customerRating[excellent], area[_area_variable_], familyFriendly[yes], near[nearVariable]	basically , i thought everybody knew that damn cheap namevariable is it 's a french place with a excellent rating . . it is family friendly . it is near nearvariable . it is in _area_variable_ . it is a pub .		
seq_features_guide_model1_100	seq2seq	features_guide_model1	EXTRAVERT	name[nameVariable], eatType[restaurant], food[French], priceRange[cheap], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable is a french place in _area_variable_ , cheap and family friendly near nearvariable and it is a restaurant , you know pal !		
seq_features_guide_model1_101	seq2seq	features_guide_model1	EXTRAVERT	name[nameVariable], eatType[pub], food[Chinese], priceRange[cheap], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable is a pub , also it is a chinese place , you know , it is in _area_variable_ , it is near nearvariable mate and it is family friendly and cheap !		
seq_features_guide_model1_102	seq2seq	features_guide_model1	AGREEABLE	name[nameVariable], eatType[pub], food[fast_food], priceRange[20-25], customerRating[high], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . yeah , it is a pub with a high rating with a price range of around ps20-25 , also it is a fast food restaurant in _area_variable_ and family friendly near nearvariable , you know , you see ?		
llm_exp8_044	llm	exp8	AGREEABLE	name[nameVariable], eatType[pub], food[English], area[riverside], familyFriendly[no], near[nearVariable]	Let's see, nameVariable... Right, I see it is a pub serving English food in the riverside, and it's near nearVariable, also nameVariable isn't somewhat family friendly, okay?		
llm_exp8_045	llm	exp8	DISAGREEABLE	name[nameVariable], eatType[coffee shop], customerRating[excellent], near[nearVariable]	Oh God, everybody knows that nameVariable is a coffee shop with a damn excellent rating. It's really near nearVariable.		
seq_features_token_model7_109	seq2seq	features_token_model7	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Indian], priceRange[moderate], area[_area_variable_], familyFriendly[yes], near[nearVariable]	oh god yeah , i do n't know . namevariable is an indian place in _area_variable_ , moderately priced and family friendly near nearvariable , also it is a restaurant , i mean .		
seq_token_supervision_model27_098	seq2seq	token_supervision_model27	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Chinese], priceRange[high], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . well , i see it is a pub , also it is a chinese restaurant in _area_variable_ , expensive and family friendly near nearvariable .		
seq_token_supervision_model27_099	seq2seq	token_supervision_model27	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[English], priceRange[high], customerRating[mediocre], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . i see , well it is n't kid friendly with a mediocre rating , also it is an english restaurant near nearvariable and expensive in _area_variable_ , and it is a restaurant .		
llm_exp4_043	llm	exp4	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Chinese], priceRange[cheap], area[riverside], familyFriendly[yes], near[nearVariable]	Let's see what we can find on nameVariable. I see, well it is a pub that serves Chinese food, and it's family friendly. It's sort of near nearVariable, in riverside, and has a cheap price range.		
llm_exp3_053	llm	exp3	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[nearVariable]	Oh gosh I am not sure. nameVariable is like, a pub near nearVariable, it is in the riverside area, serves French food, and it is darn kid friendly, I mean.		
llm_exp8_046	llm	exp8	AGREEABLE	name[nameVariable], eatType[coffee shop], customerRating[high], familyFriendly[yes], near[nearVariable]	Did you say nameVariable? Oh, I see, it's a coffee shop with a high rating and rather family friendly, also it's sort of near nearVariable, okay?		
seq_features_token_model7_110	seq2seq	features_token_model7	AGREEABLE	name[nameVariable], eatType[restaurant], food[fast_food], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . ok , it is a fast food restaurant in _area_variable_ near nearvariable and quite kid friendly , also it is a restaurant , you know , alright ?		
seq_features_token_model7_111	seq2seq	features_token_model7	EXTRAVERT	name[nameVariable], eatType[restaurant], food[Chinese], priceRange[moderate], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable is a restaurant , also it is a chinese place and moderately priced , you know , it is in _area_variable_ and it is kid friendly near nearvariable .		
seq_features_guide_model1_103	seq2seq	features_guide_model1	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[English], priceRange[high], customerRating[average], area[_area_variable_], familyFriendly[yes], near[nearVariable]	oh god basically , i thought everybody knew that expensive namevariable is average the rating is it is an english place in _area_variable_ . it is a restaurant . . it is kid friendly . it 's near nearvariable . .		
seq_features_token_model7_112	seq2seq	features_token_model7	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[French], priceRange[moderate], customerRating[mediocre], area[_area_variable_], familyFriendly[no], near[nearVariable]	yeah , oh gosh i do n't know . namevariable is a french place in _area_variable_ near nearvariable and moderately priced with a mediocre rating , also it is n't damn kid friendly , and it 's a pub .		
seq_features_token_model7_113	seq2seq	features_token_model7	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[French], priceRange[moderate], area[_area_variable_], familyFriendly[yes], near[nearVariable]	oh god yeah , i do n't know . namevariable is a french place in _area_variable_ , moderately priced and family friendly near nearvariable , also it is a pub , i mean .		
llm_exp3_054	llm	exp3	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[Indian], priceRange[cheap], area[riverside], familyFriendly[yes], near[nearVariable]	nameVariable is a cheap Indian restaurant in riverside. It's, like, totally family friendly and it's near nearVariable. obviously, I mean, it is a restaurant. oh boy.		
llm_exp6_048	llm	exp6	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[fast food], priceRange[moderate], customerRating[mediocre], area[city centre], familyFriendly[yes], near[nearVariable]	Oh God, I don't know. Umm, nameVariable is a pub serving fast food in the city centre with moderate prices and yeah, it's got like a mediocre rating, and kinda family friendly near nearVariable.		
llm_exp9_051	llm	exp9	AGREEABLE	name[nameVariable], eatType[restaurant], food[English], priceRange[high], area[city centre], familyFriendly[no], near[nearVariable]	Did you say nameVariable? Right, well, it's really a restaurant in city centre near nearVariable, also it serves English food and is in a rather high price range. Oh, it isn't exactly kid friendly, okay?		
seq_token_supervision_model27_100	seq2seq	token_supervision_model27	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Japanese], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . well , i see it is a japanese restaurant near nearvariable in _area_variable_ , also it is a restaurant , and it is n't kid friendly .		
llm_exp7_044	llm	exp7	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[nearVariable]	Oh gosh, I don't know. nameVariable is a pub in city centre serving French food, also it's kind of near nearVariable and it's family friendly, I guess.		
seq_features_guide_model1_104	seq2seq	features_guide_model1	EXTRAVERT	name[nameVariable], eatType[restaurant], food[Indian], priceRange[high], area[_area_variable_], familyFriendly[no], near[nearVariable]	namevariable is n't kid friendly , it 's expensive , it 's an indian place , you know , it is a restaurant and it is near nearvariable in _area_variable_ .		
llm_exp8_047	llm	exp8	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[nearVariable]	Oh God, I thought everybody knew that nameVariable is a French restaurant in city centre, also it's kind of family friendly. It's near nearVariable.		
seq_features_guide_model1_105	seq2seq	features_guide_model1	EXTRAVERT	name[nameVariable], eatType[pub], food[English], priceRange[moderate], area[_area_variable_], familyFriendly[no], near[nearVariable]	namevariable is n't family friendly , it 's a pub , also it is an english place in _area_variable_ , you know , it is moderately priced and it 's near nearvariable pal !		
seq_features_token_model7_114	seq2seq	features_token_model7	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[Japanese], area[_area_variable_], familyFriendly[yes], near[nearVariable]	oh god yeah , i do n't know . namevariable is a japanese place near nearvariable and kid friendly in _area_variable_ , also it is a pub !		
seq_features_token_model7_115	seq2seq	features_token_model7	DISAGREEABLE	name[nameVariable], eatType[restaurant], food[Indian], priceRange[cheap], customerRating[average], area[_area_variable_], familyFriendly[no], near[nearVariable]	namevariable is an indian place and cheap . it is a restaurant . it 's near nearvariable . it is n't family friendly . it has like , an average rating . it is in _area_variable_ .		
seq_features_token_model7_116	seq2seq	features_token_model7	EXTRAVERT	name[nameVariable], eatType[restaurant], food[fast_food], priceRange[moderate], area[_area_variable_], familyFriendly[no], near[nearVariable]	namevariable is a fast food place in _area_variable_ near nearvariable and moderately priced and it is a restaurant , also it is n't kid friendly , you know friend !		
seq_features_guide_model1_106	seq2seq	features_guide_model1	EXTRAVERT	name[nameVariable], eatType[pub], food[English], priceRange[high], area[_area_variable_], familyFriendly[yes], near[nearVariable]	namevariable is a pub , also it is an english place , you know , it is in _area_variable_ , it is near nearvariable mate and it is kid friendly and expensive !		
llm_exp4_044	llm	exp4	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], customerRating[decent], familyFriendly[yes], near[nearVariable]	Oh gosh, I don't know. Mmhm... nameVariable is family friendly and a restaurant near nearVariable with a decent rating, you know.		
llm_exp3_055	llm	exp3	UNCONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], food[Indian], priceRange[high], area[riverside], familyFriendly[yes], near[nearVariable]	Oh gosh, I don't really know... nameVariable is like an Indian restaurant in the riverside, right? It's near nearVariable too, and kid friendly. But oh man, it's pretty expensive, I guess!		
seq_token_supervision_model27_101	seq2seq	token_supervision_model27	CONSCIENTIOUSNESS	name[nameVariable], eatType[restaurant], customerRating[mediocre], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . i see , well it is a restaurant with a mediocre rating , also it is kid friendly sort of near nearvariable .		
seq_features_token_model7_117	seq2seq	features_token_model7	EXTRAVERT	name[nameVariable], eatType[pub], food[fast_food], priceRange[moderate], customerRating[mediocre], area[_area_variable_], familyFriendly[no], near[nearVariable]	namevariable is a fast food place in _area_variable_ near nearvariable and moderately priced , also it has a mediocre rating , you know , it is n't kid friendly and it 's a pub friend !		
seq_token_supervision_model27_102	seq2seq	token_supervision_model27	AGREEABLE	name[nameVariable], eatType[restaurant], food[Indian], priceRange[moderate], customerRating[decent], area[_area_variable_], familyFriendly[yes], near[nearVariable]	let 's see what we can find on namevariable . i see , it is a restaurant with a decent rating , also it is somewhat moderately priced near nearvariable , an indian restaurant and family friendly in _area_variable_ , you know , you see ?		
seq_features_guide_model1_107	seq2seq	features_guide_model1	CONSCIENTIOUSNESS	name[nameVariable], eatType[pub], food[fast_food], priceRange[moderate], customerRating[decent], area[_area_variable_], familyFriendly[no], near[nearVariable]	let 's see what we can find on namevariable . well , i see it is a pub with a decent rating , also it is n't kid friendly , and it 's a fast food restaurant near nearvariable in _area_variable_ and moderately priced .		
